Type,Content,content_cleaned,content_segmented,content_processed
p,巴勒斯坦武装法塔赫活跃份子公然地威胁要杀死阿巴斯。阿巴斯没有从阿拉法特那得到权利去执行和平路线图的任何一个方面。在他的下台[需要解释]演讲中，阿巴斯把他的失败归咎于同时缺乏来自巴勒斯坦的当局和民众的政治支持。,巴勒斯坦武装法塔赫活跃份子公然地威胁要杀死阿巴斯阿巴斯没有从阿拉法特那得到权利去执行和平路线图的任何一个方面在他的下台需要解释演讲中阿巴斯把他的失败归咎于同时缺乏来自巴勒斯坦的当局和民众的政治支持,巴勒斯坦 武装 法塔赫 活跃 份子 公然 地 威胁 要 杀死 阿巴斯 阿巴斯 没有 从 阿拉法特 那 得到 权利 去 执行 和平 路线图 的 任何 一个 方面 在 他 的 下台 需要 解释 演讲 中 阿巴斯 把 他 的 失败 归咎于 同时 缺乏 来自 巴勒斯坦 的 当局 和 民众 的 政治 支持,巴勒斯坦 武装 法塔赫 活跃 份子 公然 地 威胁 杀死 阿巴斯 阿巴斯 从 阿拉法特 那 得到 权利 执行 和平 路线图 任何 方面 他 下台 需要 解释 演讲 中 阿巴斯 把 他 失败 归咎于 同时 缺乏 来自 巴勒斯坦 当局 民众 政治 支持
h3,更变的和平提议[编辑],更变的和平提议编辑,更变 的 和平 提议 编辑,更变 和平 提议 编辑
p,借由困难的路线图计划，压力促使去找寻一个替代方案代替。在2003年12月7日，以色列的艾胡德·奥尔默特提议单方面的大规模从西岸地区和加萨走廊撤出，放弃一些犹太人的定居点和一些领土。这行为被解释为沙龙的试验行为，他在12月18日对巴勒斯坦当局的演讲中给巴勒斯坦当局在以色列采取“单方面行动”之前“几个月”时间去落实路线图计划。演讲被美国政府强烈批评，美国警告说反对先发制人的夺取路线图成果。为了以色列人的利益，这应是以以色列人民对安全的关心和达成互惠让步的需要应当作为交换的。,借由困难的路线图计划压力促使去找寻一个替代方案代替在年月日以色列的艾胡德奥尔默特提议单方面的大规模从西岸地区和加萨走廊撤出放弃一些犹太人的定居点和一些领土这行为被解释为沙龙的试验行为他在月日对巴勒斯坦当局的演讲中给巴勒斯坦当局在以色列采取单方面行动之前几个月时间去落实路线图计划演讲被美国政府强烈批评美国警告说反对先发制人的夺取路线图成果为了以色列人的利益这应是以以色列人民对安全的关心和达成互惠让步的需要应当作为交换的,借由 困难 的 路线图 计划 压力 促使 去 找寻 一个 替代 方案 代替 在 年月日 以色列 的 艾胡 德奥 尔默特 提议 单方面 的 大规模 从 西岸地区 和 加萨走廊 撤出 放弃 一些 犹太人 的 定居点 和 一些 领土 这 行为 被 解释 为 沙龙 的 试验 行为 他 在 月 日 对 巴勒斯坦 当局 的 演讲 中 给 巴勒斯坦 当局 在 以色列 采取 单方面 行动 之前 几个 月 时间 去 落实 路线图 计划 演讲 被 美国政府 强烈 批评 美国 警告 说 反对 先发制人 的 夺取 路线图 成果 为了 以色列 人 的 利益 这应 是 以 以色列 人民 对 安全 的 关心 和 达成 互惠 让步 的 需要 应当 作为 交换 的,借由 困难 路线图 计划 压力 促使 找寻 替代 方案 代替 年月日 以色列 艾胡 德奥 尔默特 提议 单方面 大规模 从 西岸地区 加萨走廊 撤出 放弃 一些 犹太人 定居点 一些 领土 行为 被 解释 为 沙龙 试验 行为 他 月 日 对 巴勒斯坦 当局 演讲 中 给 巴勒斯坦 当局 以色列 采取 单方面 行动 之前 几个 月 时间 落实 路线图 计划 演讲 被 美国政府 强烈 批评 美国 警告 反对 先发制人 夺取 路线图 成果 为了 以色列 利益 这应 以 以色列 人民 对 安全 关心 达成 互惠 让步 需要 应当 作为 交换
p,"另外的一组两年半的谈判是由前以色列前司法部长约希·贝林和前巴勒斯坦新闻局部长亚瑟·阿贝德·拉波秘密举行的。12月1日，二个当事人在日内瓦（称为日内瓦协定）为和平签署发表了一个非正式的蓝图，它为解决冲突制定了基本的架构。它的最终目标与路线图计划没有太大的不同,但是它解决问题采取了“大爆炸”的方法而不愿采取一个按部就班的方法。它被以色列政府和许多巴勒斯坦人谴责发对，巴勒斯坦当局对其不置可否，但是它被许多欧洲政府和布什政府的重要成员包括美国国务卿科林·鲍威尔所欢迎。",另外的一组两年半的谈判是由前以色列前司法部长约希贝林和前巴勒斯坦新闻局部长亚瑟阿贝德拉波秘密举行的月日二个当事人在日内瓦称为日内瓦协定为和平签署发表了一个非正式的蓝图它为解决冲突制定了基本的架构它的最终目标与路线图计划没有太大的不同但是它解决问题采取了大爆炸的方法而不愿采取一个按部就班的方法它被以色列政府和许多巴勒斯坦人谴责发对巴勒斯坦当局对其不置可否但是它被许多欧洲政府和布什政府的重要成员包括美国国务卿科林鲍威尔所欢迎,另外 的 一组 两年 半 的 谈判 是 由 前 以色列 前 司法部长 约 希贝林 和 前 巴勒斯坦 新闻局 部长 亚瑟 阿贝 德拉 波 秘密 举行 的 月 日 二个 当事人 在 日内瓦 称为 日内瓦 协定 为 和平 签署 发表 了 一个 非正式 的 蓝图 它 为 解决 冲突 制定 了 基本 的 架构 它 的 最终目标 与 路线图 计划 没有 太大 的 不同 但是 它 解决问题 采取 了 大 爆炸 的 方法 而 不愿 采取 一个 按部就班 的 方法 它 被 以色列政府 和 许多 巴勒斯坦人 谴责 发对 巴勒斯坦 当局 对 其 不置可否 但是 它 被 许多 欧洲 政府 和 布什 政府 的 重要 成员 包括 美国 国务卿 科林 鲍威尔 所 欢迎,另外 一组 两年 半 谈判 由 前 以色列 前 司法部长 约 希贝林 前 巴勒斯坦 新闻局 部长 亚瑟 阿贝 德拉 波 秘密 举行 月 日 二个 当事人 日内瓦 称为 日内瓦 协定 为 和平 签署 发表 非正式 蓝图 它 为 解决 冲突 制定 基本 架构 它 最终目标 与 路线图 计划 太大 不同 但是 它 解决问题 采取 大 爆炸 方法 而 不愿 采取 按部就班 方法 它 被 以色列政府 许多 巴勒斯坦人 谴责 发对 巴勒斯坦 当局 对 其 不置可否 但是 它 被 许多 欧洲 政府 布什 政府 重要 成员 包括 美国 国务卿 科林 鲍威尔 所 欢迎
p,另外一个以色列内外人士所提议的方案是“一国方案”。这个方案准备以色列先正式地并吞巴勒斯坦领土，然后建立一个不可分割的单一的巴勒斯坦阿拉伯人自治州。纽约教授托尼·朱特支持该方案，对这个建议既有表示赞同的也有表示指责的。实际上它并不是一个新主意，它早在1920年代就存在，但是因为阿拉伯人口数量在以色列领土的突飞猛进而受到越来越多到重视。一些以色列定居者及许多阿拉伯裔以色列人亦支持这个方案，他们希望以色列可以永远地合法拥有西岸地区和加萨走廊，而阿拉伯裔以色列人则宁愿被歧视他们的以色列统治、也不要被腐败暴力的哈玛斯及法塔赫统治，况且阿拉伯裔以色列人可以借由并吞巴勒斯坦来获得大势力。考虑到大量的人口和政治问题可能升级，而且犹太人会担心这样可以借由公投、将以色列给改名成巴勒斯坦，无论如何，它似乎对问题未必会有真正的解决。,另外一个以色列内外人士所提议的方案是一国方案这个方案准备以色列先正式地并吞巴勒斯坦领土然后建立一个不可分割的单一的巴勒斯坦阿拉伯人自治州纽约教授托尼朱特支持该方案对这个建议既有表示赞同的也有表示指责的实际上它并不是一个新主意它早在年代就存在但是因为阿拉伯人口数量在以色列领土的突飞猛进而受到越来越多到重视一些以色列定居者及许多阿拉伯裔以色列人亦支持这个方案他们希望以色列可以永远地合法拥有西岸地区和加萨走廊而阿拉伯裔以色列人则宁愿被歧视他们的以色列统治也不要被腐败暴力的哈玛斯及法塔赫统治况且阿拉伯裔以色列人可以借由并吞巴勒斯坦来获得大势力考虑到大量的人口和政治问题可能升级而且犹太人会担心这样可以借由公投将以色列给改名成巴勒斯坦无论如何它似乎对问题未必会有真正的解决,另外 一个 以色列 内外 人士 所 提议 的 方案 是 一国 方案 这个 方案 准备 以色列 先 正式 地 并吞 巴勒斯坦 领土 然后 建立 一个 不可分割 的 单一 的 巴勒斯坦 阿拉伯人 自治州 纽约 教授 托尼 朱特 支持 该 方案 对 这个 建议 既有 表示 赞同 的 也 有 表示 指责 的 实际上 它 并 不是 一个 新 主意 它 早 在 年代 就 存在 但是 因为 阿拉伯 人口数量 在 以色列 领土 的 突飞猛进 而 受到 越来越 多到 重视 一些 以色列 定居者 及 许多 阿拉伯 裔 以色列 人 亦 支持 这个 方案 他们 希望 以色列 可以 永远 地 合法 拥有 西岸地区 和 加萨走廊 而 阿拉伯 裔 以色列 人则 宁愿 被 歧视 他们 的 以色列 统治 也 不要 被 腐败 暴力 的 哈玛斯及 法塔赫 统治 况且 阿拉伯 裔 以色列 人 可以 借由 并吞 巴勒斯坦 来 获得 大 势力 考虑 到 大量 的 人口 和 政治 问题 可能 升级 而且 犹太人 会 担心 这样 可以 借由 公投 将 以色列 给 改名 成 巴勒斯坦 无论如何 它 似乎 对 问题 未必 会 有 真正 的 解决,另外 以色列 内外 人士 所 提议 方案 一国 方案 这个 方案 准备 以色列 先 正式 地 并吞 巴勒斯坦 领土 然后 建立 不可分割 单一 巴勒斯坦 阿拉伯人 自治州 纽约 教授 托尼 朱特 支持 该 方案 对 这个 建议 既有 表示 赞同 表示 指责 实际上 它 并 不是 新 主意 它 早 年代 存在 但是 因为 阿拉伯 人口数量 以色列 领土 突飞猛进 而 受到 越来越 多到 重视 一些 以色列 定居者 及 许多 阿拉伯 裔 以色列 亦 支持 这个 方案 他们 希望 以色列 可以 永远 地 合法 拥有 西岸地区 加萨走廊 而 阿拉伯 裔 以色列 人则 宁愿 被 歧视 他们 以色列 统治 不要 被 腐败 暴力 哈玛斯及 法塔赫 统治 况且 阿拉伯 裔 以色列 可以 借由 并吞 巴勒斯坦 来 获得 大 势力 考虑 大量 人口 政治 问题 可能 升级 而且 犹太人 担心 这样 可以 借由 公投 将 以色列 给 改名 成 巴勒斯坦 无论如何 它 似乎 对 问题 未必 真正 解决
p,最近的方案是三国方案，这个方案是放弃建立巴勒斯坦国，而将约旦河西岸并入约旦，加沙地带并入埃及。优点在于埃及及约旦对以色列来说是温和的邻居，而约旦河西岸及加沙地带会有比较好的发展，而且严格来说这样巴勒斯坦国只是改名成约旦；其缺点是约旦无法负担对约旦河西岸的管治，以色列及埃及都害怕穆斯林兄弟会因而得势，也会惹到巴勒斯坦民族主义。,最近的方案是三国方案这个方案是放弃建立巴勒斯坦国而将约旦河西岸并入约旦加沙地带并入埃及优点在于埃及及约旦对以色列来说是温和的邻居而约旦河西岸及加沙地带会有比较好的发展而且严格来说这样巴勒斯坦国只是改名成约旦其缺点是约旦无法负担对约旦河西岸的管治以色列及埃及都害怕穆斯林兄弟会因而得势也会惹到巴勒斯坦民族主义,最近 的 方案 是 三国 方案 这个 方案 是 放弃 建立 巴勒斯坦国 而 将 约旦河西岸 并入 约旦 加沙 地带 并入 埃及 优点 在于 埃及 及 约旦 对 以色列 来说 是 温和 的 邻居 而 约旦河西岸 及 加沙 地带 会 有 比较 好 的 发展 而且 严格来说 这样 巴勒斯坦国 只是 改名 成 约旦 其 缺点 是 约旦 无法 负担 对 约旦河西岸 的 管治 以色列 及 埃及 都 害怕 穆斯林 兄弟会 因而 得势 也 会 惹 到 巴勒斯坦 民族主义,最近 方案 三国 方案 这个 方案 放弃 建立 巴勒斯坦国 而 将 约旦河西岸 并入 约旦 加沙 地带 并入 埃及 优点 在于 埃及 及 约旦 对 以色列 来说 温和 邻居 而 约旦河西岸 及 加沙 地带 比较 发展 而且 严格来说 这样 巴勒斯坦国 只是 改名 成 约旦 其 缺点 约旦 无法 负担 对 约旦河西岸 管治 以色列 及 埃及 害怕 穆斯林 兄弟会 因而 得势 惹 巴勒斯坦 民族主义
h3,重开巴以和谈[编辑],重开巴以和谈编辑,重开 巴 以 和谈 编辑,重开 巴 以 和谈 编辑
p,2013年7月29日，以色列和巴勒斯坦代表星期一在美国首都华盛顿与美国国务卿克里共进晚餐，重启巴以和谈。这是巴以和谈中断三年以来双方代表首次重归谈判桌，然最后谈判破裂以色列和美国开始对巴勒斯坦地区施加软性经济制裁至今。[57],年月日以色列和巴勒斯坦代表星期一在美国首都华盛顿与美国国务卿克里共进晚餐重启巴以和谈这是巴以和谈中断三年以来双方代表首次重归谈判桌然最后谈判破裂以色列和美国开始对巴勒斯坦地区施加软性经济制裁至今,年月日 以色列 和 巴勒斯坦 代表 星期一 在 美国 首都 华盛顿 与 美国 国务卿 克里 共 进晚餐 重启 巴 以 和谈 这是 巴以 和谈 中断 三年 以来 双方 代表 首次 重归 谈判桌 然 最后 谈判 破裂 以色列 和 美国 开始 对 巴勒斯坦地区 施加 软性 经济制裁 至今,年月日 以色列 巴勒斯坦 代表 星期一 美国 首都 华盛顿 与 美国 国务卿 克里 共 进晚餐 重启 巴 以 和谈 这是 巴以 和谈 中断 三年 以来 双方 代表 首次 重归 谈判桌 然 最后 谈判 破裂 以色列 美国 开始 对 巴勒斯坦地区 施加 软性 经济制裁 至今
p,2016年美国唐纳德·特朗普总统上台后开始主导推翻民主党时期中东政策，并单方撕毁伊朗核协议，同时以犹太女婿贾里德·库什纳主导下开始一份名为“世纪协议”的巴以问题方案，[58]该方案主轴非常简单也就是继续加大对巴方经济制裁提升其民众痛苦，之后在极限施压下承诺以大量经济援助交换巴放弃一切政治要求，其策划主体为提供巨量经济投资让10年内巴勒斯坦地区GDP上升一倍，失业率降至10，设立50间医院等，但必须放弃建国立场、放弃一切武力装备[59]、放弃耶路撒冷、放弃以色列占领区等，而经济投资资金由沙特一派国家出资大部分，美国私人公司视情况投资部分，这一部分交换条件为美国出兵消灭伊朗政权，或至少消灭其核武计划设施。[60],年美国唐纳德特朗普总统上台后开始主导推翻民主党时期中东政策并单方撕毁伊朗核协议同时以犹太女婿贾里德库什纳主导下开始一份名为世纪协议的巴以问题方案该方案主轴非常简单也就是继续加大对巴方经济制裁提升其民众痛苦之后在极限施压下承诺以大量经济援助交换巴放弃一切政治要求其策划主体为提供巨量经济投资让年内巴勒斯坦地区上升一倍失业率降至设立间医院等但必须放弃建国立场放弃一切武力装备放弃耶路撒冷放弃以色列占领区等而经济投资资金由沙特一派国家出资大部分美国私人公司视情况投资部分这一部分交换条件为美国出兵消灭伊朗政权或至少消灭其核武计划设施,年 美国 唐纳德 特朗普 总统 上台 后 开始 主导 推翻 民主党 时期 中东 政策 并 单方 撕毁 伊朗核 协议 同时 以 犹太 女婿 贾 里德 库什 纳 主导 下 开始 一份 名为 世纪 协议 的 巴以 问题 方案 该 方案 主轴 非常简单 也 就是 继续 加大 对巴方 经济制裁 提升 其 民众 痛苦 之后 在 极限 施压 下 承诺 以 大量 经济援助 交换 巴 放弃 一切 政治 要求 其 策划 主体 为 提供 巨量 经济 投资 让 年内 巴勒斯坦地区 上升 一倍 失业率 降 至 设立 间 医院 等 但 必须 放弃 建国 立场 放弃 一切 武力 装备 放弃 耶路撒冷 放弃 以色列 占领区 等 而 经济 投资 资金 由 沙特 一派 国家 出资 大部分 美国 私人 公司 视 情况 投资 部分 这 一部分 交换条件 为 美国 出兵 消灭 伊朗 政权 或 至少 消灭 其 核武 计划 设施,年 美国 唐纳德 特朗普 总统 上台 后 开始 主导 推翻 民主党 时期 中东 政策 并 单方 撕毁 伊朗核 协议 同时 以 犹太 女婿 贾 里德 库什 纳 主导 下 开始 一份 名为 世纪 协议 巴以 问题 方案 该 方案 主轴 非常简单 就是 继续 加大 对巴方 经济制裁 提升 其 民众 痛苦 之后 极限 施压 下 承诺 以 大量 经济援助 交换 巴 放弃 一切 政治 要求 其 策划 主体 为 提供 巨量 经济 投资 让 年内 巴勒斯坦地区 上升 一倍 失业率 降 至 设立 间 医院 等 但 必须 放弃 建国 立场 放弃 一切 武力 装备 放弃 耶路撒冷 放弃 以色列 占领区 等 而 经济 投资 资金 由 沙特 一派 国家 出资 大部分 美国 私人 公司 视 情况 投资 部分 一部分 交换条件 为 美国 出兵 消灭 伊朗 政权 或 至少 消灭 其 核武 计划 设施
p,巴勒斯坦总统阿巴斯在第一时间声明不会参与此“世纪协议”任何讨论，并认为计划本身“荒谬可悲”，根本毫无约束力能强制美国守约做到其给予的油水，同时主权与意识形态不是可交易商品，不会看在钱的角度卖掉圣城耶路撒冷[60]。同时，美国本土的学者，曾担任美驻埃及和以色列大使的普林斯顿大学教授库尔泽发推特文表示，看完这特朗普女婿筹画两年的世纪计划，若是一张本科生考卷他只能给个“C”。有人[谁？]认为，从他的评论可看出“整群撰写者都是对中东一无所知甚至从没去过的人”，“中东问题若是如此简易便不会成为超过半世纪以来多国外交菁英都无解的死题”。,巴勒斯坦总统阿巴斯在第一时间声明不会参与此世纪协议任何讨论并认为计划本身荒谬可悲根本毫无约束力能强制美国守约做到其给予的油水同时主权与意识形态不是可交易商品不会看在钱的角度卖掉圣城耶路撒冷同时美国本土的学者曾担任美驻埃及和以色列大使的普林斯顿大学教授库尔泽发推特文表示看完这特朗普女婿筹画两年的世纪计划若是一张本科生考卷他只能给个有人谁认为从他的评论可看出整群撰写者都是对中东一无所知甚至从没去过的人中东问题若是如此简易便不会成为超过半世纪以来多国外交菁英都无解的死题,巴勒斯坦 总统 阿巴斯 在 第一 时间 声明 不会 参与 此 世纪 协议 任何 讨论 并 认为 计划 本身 荒谬 可悲 根本 毫无 约束力 能 强制 美国 守约 做到 其 给予 的 油水 同时 主权 与 意识形态 不是 可 交易 商品 不会 看 在 钱 的 角度 卖掉 圣城 耶路撒冷 同时 美国 本土 的 学者 曾 担任 美驻 埃及 和 以色列 大使 的 普林斯顿大学 教授 库尔 泽发 推特文 表示 看 完 这 特朗普 女婿 筹画 两年 的 世纪 计划 若 是 一张 本科生 考卷 他 只能 给 个 有人 谁 认为 从 他 的 评论 可 看出 整群 撰写 者 都 是 对 中东 一无所知 甚至 从没 去过 的 人 中东问题 若 是 如此 简易 便 不会 成为 超过 半世纪 以来 多 国 外交 菁英 都 无解 的 死题,巴勒斯坦 总统 阿巴斯 第一 时间 声明 不会 参与 此 世纪 协议 任何 讨论 并 认为 计划 本身 荒谬 可悲 根本 毫无 约束力 能 强制 美国 守约 做到 其 给予 油水 同时 主权 与 意识形态 不是 可 交易 商品 不会 钱 角度 卖掉 圣城 耶路撒冷 同时 美国 本土 学者 曾 担任 美驻 埃及 以色列 大使 普林斯顿大学 教授 库尔 泽发 推特文 表示 完 特朗普 女婿 筹画 两年 世纪 计划 若 一张 本科生 考卷 他 只能 给 个 有人 谁 认为 从 他 评论 可 看出 整群 撰写 者 对 中东 一无所知 甚至 从没 去过 中东问题 若 如此 简易 便 不会 成为 超过 半世纪 以来 多 国 外交 菁英 无解 死题
h2,参见[编辑],参见编辑,参见 编辑,参见 编辑
h3,各民族[编辑],各民族编辑,各 民族 编辑,各 民族 编辑
h3,各宗教[编辑],各宗教编辑,各 宗教 编辑,各 宗教 编辑
h3,各地理区域[编辑],各地理区域编辑,各 地理 区域 编辑,各 地理 区域 编辑
h3,各地点[编辑],各地点编辑,各地 点 编辑,各地 点 编辑
h3,各段历史[编辑],各段历史编辑,各段 历史 编辑,各段 历史 编辑
h3,各意识形态[编辑],各意识形态编辑,各 意识形态 编辑,各 意识形态 编辑
h3,各方武装势力[编辑],各方武装势力编辑,各方 武装 势力 编辑,各方 武装 势力 编辑
h3,各方人物[编辑],各方人物编辑,各方 人物 编辑,各方 人物 编辑
h4,以色列人[编辑],以色列人编辑,以色列 人 编辑,以色列 编辑
h4,巴勒斯坦人[编辑],巴勒斯坦人编辑,巴勒斯坦人 编辑,巴勒斯坦人 编辑
h2,参考文献[编辑],参考文献编辑,参考文献 编辑,参考文献 编辑
h2,外部链接[编辑],外部链接编辑,外部 链接 编辑,外部 链接 编辑
p,'Link directories',,,
